
Nr.;Datum;Titel der Vorlage;Ergebnis;Beteiligung;Volk: Ja%;Stände: Ja
566;25.11.2012;Tierseuchengesetz (TSG);Angenommen;27.6%;68.3%;.
565;23.09.2012;Volksinitiative «Schutz vor Passivrauchen»;Abgelehnt;42.8%;34.0%;1 0/2
564;23.09.2012;Volksinitiative «Sicheres Wohnen im Alter»;Abgelehnt;42.5%;47.4%;9 1/2
563;23.09.2012;Bundesbeschluss über die Jugendmusikförderung (Gegenentwurf zur Volksinitiative «jugend + musik»);Angenommen;42.4%;72.7%;20 6/2
562;17.06.2012;Änderung des Bundesgesetzes über die Krankenversicherung (Managed Care);Abgelehnt;38.7%;24.0%;.
561;17.06.2012;Volksinitiative «Für die Stärkung der Volksrechte in der Aussenpolitik (Staatsverträge vors Volk!)»;Abgelehnt;38.5%;24.7%;0 0/2
560;17.06.2012;Volksinitiative «Eigene vier Wände dank Bausparen»;Abgelehnt;38.5%;31.1%;0 0/2
559;11.03.2012;Bundesgesetz über die Buchpreisbindung;Abgelehnt;44.9%;43.9%;.
558;11.03.2012;Bundesbeschluss über die Regelung der Geldspiele zugunsten gemeinnütziger Zwecke;Angenommen;44.8%;87.1%;20 6/2
557;11.03.2012;Volksinitiative "6 Wochen Ferien für alle";Abgelehnt;45.4%;33.5%;0 0/2
556;11.03.2012;Volksinitiative "Für ein steuerlich begünstigtes Bausparen";Abgelehnt;45.0%;44.2%;4 1/2
555;11.03.2012;Volksinitiative "Schluss mit uferlosem Bau von Zweitwohnungen!";Angenommen;45.2%;50.6%;12 3/2
554;13.02.2011;Volksinitiative "Für den Schutz vor Waffengewalt";Abgelehnt;49.1%;43.7%;5 1/2
553;28.11.2010;Volksinitiative "Für faire Steuern. Stopp dem Missbrauch beim Steuerwettbewerb (Steuergerechtigkeits-Initiative)";Abgelehnt;52.4%;41.5%;3 1/2
552.2;28.11.2010;Bundesbeschluss über die Aus- und Wegweisung krimineller Ausländerinnen und Ausländer (direkter Gegenentwurf zur Auschaffungsinitiative);Abgelehnt;52.9%;45.8%;0 0/2
552.1;28.11.2010;Volksinitiative "Für die Ausschaffung krimineller Ausländer (Ausschaffungsinitiative)";Angenommen;52.9%;52.9%;15 5/2
551;26.09.2010;Bundesgesetzes über die obligatorische Arbeitslosenversicherung und die Insolvenzentschädigung (Arbeitslosenversicherungsgesetz, AVIG);Angenommen;35.8%;53.4%;.
550;07.03.2010;Bundesgesetz über die berufliche Alters-, Hinterlassenen- und Invalidenvorsorge (BVG) (Mindestumwandlungssatz);Abgelehnt;45.8%;27.3%;.
549;07.03.2010;Volksinitiative «Gegen Tierquälerei und für einen besseren Rechtsschutz der Tiere»;Abgelehnt;45.8%;29.5%;0 0/2
548;07.03.2010;Verfassungsartikel über die Forschung am Menschen;Angenommen;45.5%;77.2%;20 6/2
547;29.11.2009;Volksinitiative «Gegen den Bau von Minaretten»;Angenommen;53.8%;57.5%;17 5/2
546;29.11.2009;Volksinitiative «Für ein Verbot von Kriegsmaterial-Exporten»;Abgelehnt;53.4%;31.8%;0 0/2
545;29.11.2009;Bundesbeschluss zur Schaffung einer Spezialfinanzierung für Aufgaben im Luftverkehr;Angenommen;52.6%;65.0%;20 6/2
544;27.09.2009;Bundesbeschluss über den Verzicht auf die Einführung der allgemeinen Volksinitiative;Angenommen;40.4%;67.9%;20 6/2
543;27.09.2009;Bundesbeschluss über eine befristete Zusatzfinanzierung der Invalidenversicherung durch Anhebung der Mehrwertsteuersätze;Angenommen;41.0%;54.6%;11 2/2
542;17.05.2009;Bundesbeschluss über die Genehmigung und Umsetzung des Notenaustauschs zwischen der Schweiz und der EG betreffend die Übernahme der Verordnung über biometrische Pässe und Reisedokumente;Angenommen;38.8%;50.1%;.
541;17.05.2009;Verfassungsartikel «Zukunft mit Komplementärmedizin» (Gegenentwurf zur Volksinitiative «Ja zur Komplementärmedizin»);Angenommen;38.8%;67.0%;20 6/2
540;08.02.2009;Bundesbeschluss über die Genehmigung der Weiterführung des Freizügigkeitsabkommens zwischen der Schweiz und der Europäischen Gemeinschaft sowie über die Genehmigung des Protokolls über die Ausdehnung des Abkommens auf Bulgarien und Rumänien;Angenommen;51.4%;59.6%;.
539;30.11.2008;Bundesgesetz über die Betäubungsmittel und psychotropen Stoffe;Angenommen;47.1%;68.1%;.
538;30.11.2008;Volksinitiative «für eine vernünftige Hanf-Politik mit wirksamem Jugendschutz»;Abgelehnt;47.3%;36.7%;0 0/2
537;30.11.2008;Volksinitiative «Verbandsbeschwerderecht: Schluss mit der Verhinderungspolitik - Mehr Wachstum für die Schweiz!»;Abgelehnt;47.2%;34.0%;0 0/2
536;30.11.2008;Volksinitiative «für ein flexibles AHV-Alter»;Abgelehnt;47.6%;41.4%;4 0/2
535;30.11.2008;Volksinitiative «für die Unverjährbarkeit pornografischer Straftaten an Kindern»;Angenommen;47.5%;51.9%;16 4/2
534;01.06.2008;Verfassungsartikel «Für Qualität und Wirtschaftlichkeit in der Krankenversicherung»;Abgelehnt;44.8%;30.5%;0 0/2
533;01.06.2008;Volksinitiative «Volkssouveränität statt Behördenpropaganda»;Abgelehnt;44.9%;24.8%;0 0/2
532;01.06.2008;Volksinitiative «Für demokratische Einbürgerungen»;Abgelehnt;45.2%;36.2%;1 0/2
531;24.02.2008;Bundesgesetz über die Verbesserung der steuerlichen Rahmenbedingungen für unternehmerische Tätigkeiten und Investitionen;Angenommen;38.6%;50.5%;.
530;24.02.2008;Volksinitiative «Gegen Kampfjetlärm in Tourismusgebieten»;Abgelehnt;38.7%;31.9%;0 0/2
529;17.06.2007;Bundesgesetz über die Invalidenversicherung;Angenommen;36.2%;59.1%;.
528;11.03.2007;Volksinitiative «Für eine soziale Einheitskrankenkasse»;Abgelehnt;45.9%;28.8%;2 0/2
527;26.11.2006;Bundesgesetz über die Familienzulagen;Angenommen;45.1%;68.0%;.
526;26.11.2006;Bundesgesetz über die Zusammenarbeit mit den Staaten Osteuropas;Angenommen;45.1%;53.4%;.
525;24.09.2006;Änderung des Asylgesetzes;Angenommen;49.1%;67.8%;.
524;24.09.2006;Bundesgesetz über die Ausländerinnen und Ausländer;Angenommen;49.0%;68.0%;.
523;24.09.2006;Volksinitiative «Nationalbankgewinne für die AHV»;Abgelehnt;48.9%;41.7%;2 1/2
522;21.05.2006;Bundesbeschluss über die Neuordnung der Verfassungsbestimmungen zur Bildung;Angenommen;27.9%;85.6%;20 6/2
521;27.11.2005;Arbeitsgesetz (Ladenöffnungszeiten in Zentren des öffentlichen Verkehrs);Angenommen;42.4%;50.6%;.
520;27.11.2005;Volksinitiative «für Lebensmittel aus gentechnikfreier Landwirtschaft»;Angenommen;42.2%;55.7%;20 6/2
519;25.09.2005;Bundesbeschluss über die Ausdehnung des Personenfreizügigkeitsabkommens auf die neuen EU-Staaten und über die Revision der flankierenden Massnahmen;Angenommen;54.4%;56.0%;.
518;05.06.2005;Bundesgesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz, PartG);Angenommen;56.6%;58.0%;.
517;05.06.2005;Bundesbeschluss über die Genehmigung und die Umsetzung der bilateralen Abkommen zwischen der Schweiz und der EU über die Assoziierung an Schengen und Dublin;Angenommen;56.8%;54.6%;.
516;28.11.2004;Bundesgesetz über die Forschung an embryonalen Stammzellen;Angenommen;37.0%;66.4%;.
515;28.11.2004;Bundesbeschluss über eine neue Finanzordnung;Angenommen;36.8%;73.8%;19 6/2
514;28.11.2004;Bundesbeschluss zur Neugestaltung des Finanzausgleichs und der Aufgabenteilung zwischen Bund und Kantonen (NFA);Angenommen;36.9%;64.4%;18 5/2
513;26.09.2004;Bundesgesetz über die Erwerbsersatzordnung für Dienstleistende in Armee, Zivildienst und Zivilschutz (Erwerbsersatzgesetz, EOG);Angenommen;53.8%;55.5%;.
512;26.09.2004;Volksinitiative 'Postdienst für alle';Abgelehnt;53.5%;49.8%;9 1/2
511;26.09.2004;Bundesbeschluss über den Bürgerrechtserwerb von Ausländerinnen und Ausländern der dritten Generation;Abgelehnt;53.8%;48.4%;6 1/2
510;26.09.2004;Bundesbeschluss über die ordentliche Einbürgerung sowie über die erleichterte Einbürgerung junger Ausländerinnen und Ausländer der zweiten Generation;Abgelehnt;53.8%;43.2%;5 1/2
509;16.05.2004;Bundesgesetz über die Änderung von Erlassen im Bereich der Ehe- und Familienbesteuerung, der Wohneigentumsbesteuerung und der Stempelabgaben;Abgelehnt;50.8%;34.1%;.
508;16.05.2004;Bundesbeschluss über die Finanzierung der AHV/IV durch Anhebung der Mehrwertsteuersätze;Abgelehnt;50.8%;31.4%;0 0/2
507;16.05.2004;Bundesgesetz über die Alters- und Hinterlassenenversicherung (11. AHV-Revision);Abgelehnt;50.8%;32.1%;.
506;08.02.2004;Volksinitiative «Lebenslange Verwahrung für nicht therapierbare, extrem gefährliche Sexual- und Gewaltstraftäter»;Angenommen;45.5%;56.2%;19 5/2
505;08.02.2004;Obligationenrecht (Miete). Änderung;Abgelehnt;45.4%;35.9%;.
504;08.02.2004;Gegenentwurf zur Volksinitiative «Avanti - für sichere und leistungsfähige Autobahnen»;Abgelehnt;45.6%;37.2%;0 0/2
503;18.05.2003;Volksinitiative «für ein ausreichendes Berufsbildungsangebot»;Abgelehnt;49.6%;31.6%;0 0/2
502;18.05.2003;Volksinitiative «MoratoriumPlus - Für die Verlängerung des Atomkraftwerk-Baustopps und die Begrenzung des Atomrisikos»;Abgelehnt;49.6%;41.6%;0 2/2
501;18.05.2003;Volksinitiative «Strom ohne Atom - Für eine Energiewende und die schrittweise Stilllegung der Atomkraftwerke»;Abgelehnt;49.7%;33.7%;0 1/2
500;18.05.2003;Volksinitiative «Gleiche Rechte für Behinderte»;Abgelehnt;49.7%;37.7%;3 0/2
499;18.05.2003;Volksinitiative «Gesundheit muss bezahlbar bleiben»;Abgelehnt;49.7%;27.1%;0 0/2
498;18.05.2003;Volksinitiative «für einen autofreien Sonntag pro Jahreszeit - ein Versuch für vier Jahre»;Abgelehnt;49.8%;37.6%;0 0/2
497;18.05.2003;Volksinitiative «Ja zu fairen Mieten»;Abgelehnt;49.6%;32.7%;1 0/2
496;18.05.2003;Bundesgesetz über den Bevölkerungsschutz und den Zivilschutz;Angenommen;49.5%;80.6%;.
495;18.05.2003;Bundesgesetz über die Armee und die Militärverwaltung (Armee XXI);Angenommen;49.6%;76.0%;.
494;09.02.2003;Bundesgesetz über die Anpassung der kantonalen Beiträge an Spitalbehandlungen;Angenommen;28.7%;77.4%;.
493;09.02.2003;Bundesbeschluss über die Änderung der Volksrechte;Angenommen;28.7%;70.4%;20 6/2
492;24.11.2002;Bundesgesetz über die obligatorische Arbeitslosenversicherung und die Insolvenzentschädigung;Angenommen;47.6%;56.1%;.
491;24.11.2002;Volksinitiative «gegen Asylrechtsmissbrauch»;Abgelehnt;47.9%;49.9%;10 5/2
490;22.09.2002;Elektrizitätsmarktgesetz;Abgelehnt;44.8%;47.4%;.
489.2;22.09.2002;Gold für AHV, Kantone und Stiftung (Gegenvorschlag zur Goldinitiative);Abgelehnt;45.2%;46.4%;6 1/2
489.1;22.09.2002;Volksinitiative «Überschüssige Goldreserven in den AHV-Fonds»;Abgelehnt;45.2%;46.4%;6 0/2
488;02.06.2002;Volksinitiative «für Mutter und Kind - für den Schutz des ungeborenen Kindes und für die Hilfe an seine Mutter in Not»;Abgelehnt;41.7%;18.2%;0 0/2
487;02.06.2002;Schweizerisches Strafgesetzbuch (Schwangerschaftsabbruch, Fristenregelung);Angenommen;41.8%;72.2%;.
486;03.03.2002;Volksinitiative «für eine kürzere Arbeitszeit»;Abgelehnt;58.3%;25.4%;0 0/2
485;03.03.2002;Volksinitiative «für den Beitritt der Schweiz zur Organisation der Vereinten Nationen (UNO)»;Angenommen;58.4%;54.6%;11 2/2
